SIMNO,prep.start.prob,prep.prob.oral,prepla.dlevel.icpt,prepla.dlevel.halflife.int,prep.la.hr.rel,prep.adhr.dist.la,prepla.discont.rate
4067,1,0.5,2,6.42857142857143,1,1  -  0,0.02138792
4068,1,0.5,2.5,6.42857142857143,1,1  -  0,0.02138792
4069,1,0.5,3,6.42857142857143,1,1  -  0,0.02138792
4070,1,0.5,3.5,6.42857142857143,1,1  -  0,0.02138792
4071,1,0.5,4,6.42857142857143,1,1  -  0,0.02138792
4072,1,0.5,4.5,6.42857142857143,1,1  -  0,0.02138792
4073,1,0.5,5,6.42857142857143,1,1  -  0,0.02138792
4074,1,0.5,5.5,6.42857142857143,1,1  -  0,0.02138792
4075,1,0.5,6,6.42857142857143,1,1  -  0,0.02138792
4076,1,0.5,6.5,6.42857142857143,1,1  -  0,0.02138792
4077,1,0.5,1.5,7.14285714285714,1,1  -  0,0.02138792
4078,1,0.5,2,7.14285714285714,1,1  -  0,0.02138792
4079,1,0.5,2.5,7.14285714285714,1,1  -  0,0.02138792
4080,1,0.5,3,7.14285714285714,1,1  -  0,0.02138792
4081,1,0.5,3.5,7.14285714285714,1,1  -  0,0.02138792
4082,1,0.5,4,7.14285714285714,1,1  -  0,0.02138792
4083,1,0.5,4.5,7.14285714285714,1,1  -  0,0.02138792
4084,1,0.5,5,7.14285714285714,1,1  -  0,0.02138792
4085,1,0.5,5.5,7.14285714285714,1,1  -  0,0.02138792
4086,1,0.5,6,7.14285714285714,1,1  -  0,0.02138792
4087,1,0.5,6.5,7.14285714285714,1,1  -  0,0.02138792
4088,1,0.5,1.5,7.85714285714286,1,1  -  0,0.02138792
4089,1,0.5,2,7.85714285714286,1,1  -  0,0.02138792
4090,1,0.5,2.5,7.85714285714286,1,1  -  0,0.02138792
4091,1,0.5,3,7.85714285714286,1,1  -  0,0.02138792
4092,1,0.5,3.5,7.85714285714286,1,1  -  0,0.02138792
4093,1,0.5,4,7.85714285714286,1,1  -  0,0.02138792
4094,1,0.5,4.5,7.85714285714286,1,1  -  0,0.02138792
4095,1,0.5,5,7.85714285714286,1,1  -  0,0.02138792
4096,1,0.5,5.5,7.85714285714286,1,1  -  0,0.02138792
4097,1,0.5,6,7.85714285714286,1,1  -  0,0.02138792
4098,1,0.5,6.5,7.85714285714286,1,1  -  0,0.02138792
4099,1,0.5,1.5,8.57142857142857,1,1  -  0,0.02138792
4100,1,0.5,2,8.57142857142857,1,1  -  0,0.02138792
4101,1,0.5,2.5,8.57142857142857,1,1  -  0,0.02138792
4102,1,0.5,3,8.57142857142857,1,1  -  0,0.02138792
4103,1,0.5,3.5,8.57142857142857,1,1  -  0,0.02138792
4104,1,0.5,4,8.57142857142857,1,1  -  0,0.02138792
4105,1,0.5,4.5,8.57142857142857,1,1  -  0,0.02138792
4106,1,0.5,5,8.57142857142857,1,1  -  0,0.02138792
4107,1,0.5,5.5,8.57142857142857,1,1  -  0,0.02138792
4108,1,0.5,6,8.57142857142857,1,1  -  0,0.02138792
4109,1,0.5,6.5,8.57142857142857,1,1  -  0,0.02138792
5000,1,0.5,3.59,5,0.666666666666667,1  -  0,0.02138792
5001,1,0.5,3.59,5,0.8,1  -  0,0.02138792
5002,1,0.5,3.59,5,0.909090909090909,1  -  0,0.02138792
5003,1,0.5,3.59,5,0.952380952380952,1  -  0,0.02138792
5004,1,0.5,3.59,5,1.05,1  -  0,0.02138792
5005,1,0.5,3.59,5,1.1,1  -  0,0.02138792
5006,1,0.5,3.59,5,1.25,1  -  0,0.02138792
5007,1,0.5,3.59,5,1.5,1  -  0,0.02138792
6000,1,0.5,3.59,5,1,1  -  0,0.0628012143911171
6001,1,0.5,3.59,5,1,1  -  0,0.0526151597973306
6002,1,0.5,3.59,5,1,1  -  0,0.0423183968780736
6003,1,0.5,3.59,5,1,1  -  0,0.0319097223869652
6004,1,0.5,3.59,5,1,1  -  0,0.02138792
6005,1,0.5,3.59,5,1,1  -  0,0.0143099296105677
6006,1,0.5,3.59,5,1,1  -  0,0.0107517601734133
6007,1,0.5,3.59,5,1,1  -  0,0.00861069617633459
6008,1,0.5,3.59,5,1,1  -  0,0.0071807463644592
